Name,Generation,Pathway,C0_uM,AUC_uM_h,k_elim_per_h
Lecanemab,0,parent,0.7657,18.0477,0.0015
M0_CYP3A4,1,CYP3A4,0.1914,4.5731,0.0004
M0_CYP2D6,1,CYP2D6,0.0957,2.2866,0.0004
M0_CYP1A2,1,CYP1A2,0.0574,1.3773,0.0001
M0_UGT1A1,1,UGT1A1,0.0383,0.9187,0.0
M0_CYP2C9,1,CYP2C9,0.0383,0.9182,0.0001
M0_SULT1A1,1,SULT1A1,0.0191,0.4593,0.0
M0_MAO-A,1,MAO-A,0.0191,0.4593,0.0
M1_CYP3A4,2,CYP3A4,0.0479,1.1472,0.0001
M1_CYP3A4,2,CYP3A4,0.0239,0.5739,0.0
M1_CYP2D6,2,CYP2D6,0.0239,0.5736,0.0001
M1_CYP1A2,2,CYP1A2,0.0144,0.3445,0.0
M1_CYP3A4,2,CYP3A4,0.0144,0.3444,0.0
M1_CYP2D6,2,CYP2D6,0.012,0.287,0.0
M1_CYP2C9,2,CYP2C9,0.0096,0.2297,0.0
M1_UGT1A1,2,UGT1A1,0.0096,0.2297,0.0
M1_CYP3A4,2,CYP3A4,0.0096,0.2297,0.0
M1_CYP3A4,2,CYP3A4,0.0096,0.2297,0.0
M1_CYP1A2,2,CYP1A2,0.0072,0.1723,0.0
M1_CYP2D6,2,CYP2D6,0.0072,0.1722,0.0
M1_UGT1A1,2,UGT1A1,0.0048,0.1149,0.0
M1_SULT1A1,2,SULT1A1,0.0048,0.1148,0.0
M1_MAO-A,2,MAO-A,0.0048,0.1148,0.0
M1_CYP2C9,2,CYP2C9,0.0048,0.1148,0.0
M1_CYP2D6,2,CYP2D6,0.0048,0.1148,0.0
M1_CYP2D6,2,CYP2D6,0.0048,0.1148,0.0
M1_CYP3A4,2,CYP3A4,0.0048,0.1148,0.0
M1_CYP3A4,2,CYP3A4,0.0048,0.1148,0.0
M1_CYP1A2,2,CYP1A2,0.0043,0.1034,0.0
M1_CYP2C9,2,CYP2C9,0.0029,0.0689,0.0
M1_UGT1A1,2,UGT1A1,0.0029,0.0689,0.0
M1_CYP1A2,2,CYP1A2,0.0029,0.0689,0.0
M1_CYP1A2,2,CYP1A2,0.0029,0.0689,0.0
M1_SULT1A1,2,SULT1A1,0.0024,0.0574,0.0
M1_MAO-A,2,MAO-A,0.0024,0.0574,0.0
M1_CYP2D6,2,CYP2D6,0.0024,0.0574,0.0
M1_CYP2D6,2,CYP2D6,0.0024,0.0574,0.0
M1_CYP2C9,2,CYP2C9,0.0019,0.0459,0.0
M1_UGT1A1,2,UGT1A1,0.0019,0.0459,0.0
M1_CYP2C9,2,CYP2C9,0.0019,0.0459,0.0
M1_UGT1A1,2,UGT1A1,0.0019,0.0459,0.0
M1_SULT1A1,2,SULT1A1,0.0014,0.0345,0.0
M1_MAO-A,2,MAO-A,0.0014,0.0345,0.0
M1_CYP1A2,2,CYP1A2,0.0014,0.0345,0.0
M1_CYP1A2,2,CYP1A2,0.0014,0.0345,0.0
M2_CYP3A4,3,CYP3A4,0.012,0.287,0.0
M2_CYP2D6,3,CYP2D6,0.006,0.1435,0.0
M2_CYP3A4,3,CYP3A4,0.006,0.1435,0.0
M2_CYP3A4,3,CYP3A4,0.006,0.1435,0.0
M2_CYP1A2,3,CYP1A2,0.0036,0.0861,0.0
M2_CYP3A4,3,CYP3A4,0.0036,0.0861,0.0
M2_CYP3A4,3,CYP3A4,0.0036,0.0861,0.0
M2_CYP2D6,3,CYP2D6,0.003,0.0718,0.0
M2_CYP2D6,3,CYP2D6,0.003,0.0718,0.0
M2_CYP3A4,3,CYP3A4,0.003,0.0718,0.0
M2_CYP2C9,3,CYP2C9,0.0024,0.0574,0.0
M2_UGT1A1,3,UGT1A1,0.0024,0.0574,0.0
M2_CYP3A4,3,CYP3A4,0.0024,0.0574,0.0
M2_CYP3A4,3,CYP3A4,0.0024,0.0574,0.0
M2_CYP3A4,3,CYP3A4,0.0024,0.0574,0.0
M2_CYP3A4,3,CYP3A4,0.0024,0.0574,0.0
M2_CYP1A2,3,CYP1A2,0.0018,0.0431,0.0
M2_CYP2D6,3,CYP2D6,0.0018,0.0431,0.0
M2_CYP1A2,3,CYP1A2,0.0018,0.0431,0.0
M2_CYP3A4,3,CYP3A4,0.0018,0.0431,0.0
M2_CYP2D6,3,CYP2D6,0.0018,0.0431,0.0
M2_CYP3A4,3,CYP3A4,0.0018,0.0431,0.0
M2_CYP2D6,3,CYP2D6,0.0015,0.0359,0.0
M2_SULT1A1,3,SULT1A1,0.0012,0.0287,0.0
M2_MAO-A,3,MAO-A,0.0012,0.0287,0.0
M2_CYP2C9,3,CYP2C9,0.0012,0.0287,0.0
M2_UGT1A1,3,UGT1A1,0.0012,0.0287,0.0
M2_CYP2D6,3,CYP2D6,0.0012,0.0287,0.0
M2_CYP2D6,3,CYP2D6,0.0012,0.0287,0.0
M2_CYP3A4,3,CYP3A4,0.0012,0.0287,0.0
M2_CYP3A4,3,CYP3A4,0.0012,0.0287,0.0
M2_CYP2C9,3,CYP2C9,0.0012,0.0287,0.0
M2_UGT1A1,3,UGT1A1,0.0012,0.0287,0.0
M2_CYP3A4,3,CYP3A4,0.0012,0.0287,0.0
M2_CYP3A4,3,CYP3A4,0.0012,0.0287,0.0
M2_CYP2D6,3,CYP2D6,0.0012,0.0287,0.0
M2_CYP3A4,3,CYP3A4,0.0012,0.0287,0.0
M2_CYP2D6,3,CYP2D6,0.0012,0.0287,0.0
M2_CYP3A4,3,CYP3A4,0.0012,0.0287,0.0
M2_CYP3A4,3,CYP3A4,0.0012,0.0287,0.0
M2_CYP3A4,3,CYP3A4,0.0012,0.0287,0.0
M2_CYP1A2,3,CYP1A2,0.0011,0.0258,0.0
M2_CYP1A2,3,CYP1A2,0.0011,0.0258,0.0
M2_CYP3A4,3,CYP3A4,0.0011,0.0258,0.0
